"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"6887",3073,2700,6269,6967,2005,1672,4527,635,794
"6888",14421,14118,48856,55451,32896,27440,60391,10108,13043
"6889",611,1157,1564,1187,2303,1539,1089,820,486
"6890",1158,1595,6134,6269,4053,2382,5178,1031,771
"6891",2323,1803,3138,3175,4075,3522,2926,1414,1571
"6892",0,0,0,1,1,1,2,0,0
"6893",12,25,1,5,34,29,3,6,5
"6894",2184,3974,3514,2316,7619,5256,3684,2072,1487
"6895",3762,4424,7904,6769,10405,7661,6079,2748,2652
"6896",40,46,106,105,171,110,92,30,22
"6897",7,14,4,9,16,16,12,4,7
"6898",0,0,0,0,0,0,1,0,0
"6899",1768,1010,3562,2591,1708,2159,2153,481,678
"6900",85,136,97,68,228,155,80,74,45
"6901",0,0,0,0,0,0,0,0,0
"6902",2,3,0,0,0,1,2,3,0
"6903",0,0,241,210,5,8,272,2,1
"6904",7,36,867,1207,63,22,1147,29,9
"6905",721,807,1342,1046,2008,1371,1299,557,508
"6906",3925,5370,6766,5999,10383,6264,5408,3057,2415
"6907",8,11,0,0,0,1,0,0,1
"6908",981,1186,1239,1094,2469,1683,1198,776,657
"6909",5403,5827,9066,10671,18898,14290,11200,4877,5020
"6910",0,0,1,0,0,0,0,0,0
"6911",1,0,0,0,0,0,0,0,0
"6912",6,4,2,3,6,8,2,1,1
"6913",13632,21944,16820,20673,48156,26766,19317,14564,8484
"6914",2,0,0,0,0,1,0,0,0
"6915",43,9,6,7,23,45,14,7,9
"6916",968,640,1681,1244,1674,1648,1638,308,346
"6917",269,127,388,255,294,415,430,127,170
"6918",0,1,3,3,0,0,2,2,1
"6919",244,2209,5269,5662,3418,859,5188,1721,396
"6920",600,1054,1356,1321,2035,1198,1749,380,397
"6921",1,1,5,0,1,2,2,0,0
"6922",0,0,0,0,0,0,0,0,0
"6923",0,0,0,0,1,0,0,0,0
"6924",0,1,4,4,0,0,4,2,0
"6925",0,0,0,0,0,0,0,0,0
"6926",0,0,0,0,0,0,0,0,0
"6927",47,75,95,105,191,91,87,56,31
